Country,Medal,Name,Sport,Event,Date
Belgium,Bronze,Wout van Aert,Cycling,Men's road time trial,7/27/2024
China,,Cao Liguo,Wrestling,Men's Greco-Roman 60 kg,8/6/2024
China,,Cao Yuan,Diving,Men's 10 m platform,8/10/2024
China,,Chang Yani,Diving,Women's 3 m springboard,8/9/2024
China,,Chang Yuan,Boxing,Women's 54 kg,8/8/2024
China,,Chen Meng,Table tennis,Women's singles,8/3/2024
China,,Chen Yiwen,Diving,Women's 3 m springboard,8/9/2024
China,,Chen Yuxi,Diving,Women's 10 m platform,8/6/2024
China,,Deng Lijuan,Sport climbing,Women's speed,8/7/2024
China,,Deng Yawen,Cycling,Women's BMX freestyle,7/31/2024
China,,Fan Zhendong,Table tennis,Men's singles,8/4/2024
China,,Feng Bin,Athletics,Women's discus throw,8/5/2024
China,,Feng Ziqi,Wrestling,Women's freestyle 50 kg,8/7/2024
China,,Guo Qing,Taekwondo,Women's 49 kg,8/7/2024
China,,He Bingjiao,Badminton,Women's singles,8/5/2024
China,,Hong Kexin,Wrestling,Women's freestyle 57 kg,8/9/2024
China,,Hou Zhihui,Weightlifting,Women's 49 kg,8/7/2024
China,,Huang Yuting,Shooting,Women's 10 m air rifle,7/29/2024
China,,"Huang Yuting
Sheng Lihao",Shooting,Mixed 10 m air rifle team,7/27/2024
China,,"Huang Yuting
Sheng Lihao",Diving,Women's synchronized 3 m springboard,7/27/2024
China,,"Huang Yuting
Sheng Lihao",Diving,Men's synchronized 10 m platform,7/29/2024
China,,"Huang Yuting
Sheng Lihao",Table tennis,Mixed doubles,7/30/2024
China,,"Huang Yuting
Sheng Lihao",Diving,Women's synchronized 10 m platform,7/31/2024
China,,"Huang Yuting
Sheng Lihao",Diving,Men's synchronized 3 m springboard,8/2/2024
China,,"Huang Yuting
Sheng Lihao",Badminton,Mixed doubles,8/2/2024
China,,"Huang Yuting
Sheng Lihao",Badminton,Women's doubles,8/3/2024
China,,"Huang Yuting
Sheng Lihao",Swimming,Men's 4 × 100 m medley relay,8/4/2024
China,,"Huang Yuting
Sheng Lihao",Artistic swimming,Team event,8/7/2024
China,,"Huang Yuting
Sheng Lihao",Canoeing,Women's C-2 500 m,8/9/2024
China,,"Huang Yuting
Sheng Lihao",Table tennis,Men's team,8/9/2024
China,,"Huang Yuting
Sheng Lihao",Gymnastics,Women's rhythmic group all-around,8/10/2024
China,,"Huang Yuting
Sheng Lihao",Table tennis,Women's team,8/10/2024
China,,"Huang Yuting
Sheng Lihao",Artistic swimming,Duet,8/10/2024
China,,"Huang Yuting
Sheng Lihao",Archery,Women's team,7/28/2024
China,,"Huang Yuting
Sheng Lihao",Gymnastics,Men's artistic team all-around,7/29/2024
China,,"Huang Yuting
Sheng Lihao",Tennis,Mixed doubles,8/2/2024
China,,"Huang Yuting
Sheng Lihao",Badminton,Women's doubles,8/3/2024
China,,"Huang Yuting
Sheng Lihao",Swimming,Mixed 4 × 100 m medley relay,8/3/2024
China,,"Huang Yuting
Sheng Lihao",Badminton,Men's doubles,8/4/2024
China,,"Huang Yuting
Sheng Lihao",Field hockey,Women's tournament,8/9/2024
China,,"Huang Yuting
Sheng Lihao",Swimming,Women's 4 × 100 m freestyle relay,7/27/2024
China,,"Huang Yuting
Sheng Lihao",Swimming,Women's 4 × 200 m freestyle relay,8/1/2024
China,,"Huang Yuting
Sheng Lihao",Swimming,Women's 4 × 100 m medley relay,8/4/2024
China,,"Huang Yuting
Sheng Lihao",Shooting,Mixed skeet team,8/5/2024
China,,Li Fabin,Weightlifting,Men's 61 kg,8/7/2024
China,,Li Qian,Boxing,Women's 75 kg,8/10/2024
China,,Li Wenwen,Weightlifting,Women's +81 kg,8/11/2024
China,,Li Yuehong,Shooting,Men's 25 m rapid fire pistol,8/5/2024
China,,Liang Yushuai,Taekwondo,Men's 68 kg,8/8/2024
China,,Lin Xiyu,Golf,Women's individual,8/10/2024
China,,Liu HaoJi Bowen,Canoeing,Men's C-2 500 m,8/8/2024
China,,Liu Huanhua,Weightlifting,Men's 102 kg,8/10/2024
China,,Liu Qingyi,Breaking,B-Girls,8/9/2024
China,,Liu Yang,Gymnastics,Men's rings,8/4/2024
China,,Liu Yukun,Shooting,Men's 50 m rifle three positions,8/1/2024
China,,Luo Shifang,Weightlifting,Women's 59 kg,8/8/2024
China,,Ma Zhenzhao,Judo,Women's 78 kg,8/1/2024
China,,Meng Lingzhe,Wrestling,Men's Greco-Roman 130 kg,8/6/2024
China,,Pan Zhanle,Swimming,Men's 100 m freestyle,7/31/2024
China,,Pang Qianyu,Wrestling,Women's freestyle 53 kg,8/8/2024
China,,Qi Ying,Shooting,Men's trap,7/30/2024
China,,Qiu Qiyuan,Gymnastics,Women's uneven bars,8/4/2024
China,,Quan Hongchan,Diving,Women's 10 m platform,8/6/2024
China,,Sheng Lihao,Shooting,Men's 10 m air rifle,7/29/2024
China,,Song Jiayuan,Athletics,Women's shot put,8/9/2024
China,,Sun Yingsha,Table tennis,Women's singles,8/3/2024
China,,Tang Qianting,Swimming,Women's 100 m breaststroke,7/29/2024
China,,Wang Shun,Swimming,Men's 200 m individual medley,8/2/2024
China,,Wang Xinjie,Shooting,Men's 25 m rapid fire pistol,8/5/2024
China,,Wang Zisai,Gymnastics,Men's trampoline,8/2/2024
China,,Wang Zongyuan,Diving,Men's 3 m springboard,8/8/2024
China,,Wu Peng,Sport climbing,Men's speed,8/8/2024
China,,Wu Yu,Boxing,Women's 50 kg,8/9/2024
China,,Xiao Ruoteng,Gymnastics,Men's artistic individual all-around,7/31/2024
China,,Xie Siyi,Diving,Men's 3 m springboard,8/8/2024
China,,Xie Yu,Shooting,Men's 10 m air pistol,7/28/2024
China,,Xu Jiayu,Swimming,Men's 100 m backstroke,7/29/2024
China,,Yan Langyu,Gymnastics,Men's trampoline,8/2/2024
China,,Yang Jiayu,Athletics,Women's 20 km walk,8/1/2024
China,,Yang Liu,Boxing,Women's 66 kg,8/9/2024
China,,Yang Wenlu,Boxing,Women's 60 kg,8/6/2024
China,,Zhang Boheng,Gymnastics,Men's artistic individual all-around,7/31/2024
China,,Zhang Boheng,Gymnastics,Men's horizontal bar,8/5/2024
China,,Zhang Qiongyue,Shooting,Women's 50 m rifle three positions,8/2/2024
China,,Zhang Yufei,Swimming,Women's 100 m butterfly,7/28/2024
China,,Zhang Yufei,Swimming,Women's 200 m butterfly,8/1/2024
China,,Zhang Yufei,Swimming,Women's 50 m freestyle,8/4/2024
China,,Zhao Jie,Athletics,Women's hammer throw,8/6/2024
China,,Zheng Qinwen,Tennis,Women's singles,8/3/2024
China,,Zhou Yaqin,Gymnastics,Women's balance beam,8/5/2024
China,,Zou Jingyuan,Gymnastics,Men's parallel bars,8/5/2024
China,,Zou Jingyuan,Gymnastics,Men's rings,8/4/2024
Column1,Medal,Name,Sport,Event,Date
France,Gold,Althéa Laurin,Taekwondo,Women's +67 kg,8/10/2024
France,Bronze,Amandine Buchard,Judo,Women's 52 kg,7/28/2024
France,Silver,Anastasiya Kirpichnikova,Swimming,Women's 1500 m freestyle,7/31/2024
France,Silver,Angèle Hug,Canoeing,Women's KX-1,8/5/2024
France,Bronze,Anthony Jeanjean,Cycling,Men's BMX freestyle,7/31/2024
France,Silver,Auriane Mallo,Fencing,Women's épée,7/27/2024
France,Gold,Benjamin Thomas,Cycling,Men's omnium,8/8/2024
France,Silver,Billal Bennama,Boxing,Men's 51 kg,8/8/2024
France,Silver,Camille Jedrzejewski,Shooting,Women's 25 m pistol,8/3/2024
France,Gold,Cassandre Beaugrand,Triathlon,Women's triathlon,7/31/2024
France,Bronze,Christophe Laporte,Cycling,Men's individual road race,8/3/2024
France,Bronze,Clarisse Agbegnenou,Judo,Women's 63 kg,7/30/2024
France,Silver,Cyréna Samba-Mayela,Athletics,Women's 100 m hurdles,8/10/2024
France,Bronze,Cyrian Ravet,Taekwondo,Men's 58 kg,8/7/2024
France,Silver,Danis Civil,Breaking,B-Boys,8/10/2024
France,Bronze,Djamili-Dini Aboudou Moindze,Boxing,Men's +92 kg,8/7/2024
France,Silver,Élodie Clouvel,Modern pentathlon,Women's individual,8/11/2024
France,Bronze,Félix Lebrun,Table tennis,Men's singles,8/4/2024
France,Bronze,Florent Manaudou,Swimming,Men's 50 m freestyle,8/2/2024
France,Gold,"France national rugby sevens team
Jean-Pascal Barraque
Antoine Dupont
Théo Forner
Aaron Grandidier Nkanang
Jefferson Lee Joseph
Stephen Parez
Varian Pasquet
Rayan Rebbadj
Paulin Riva
Jordan Sepho
Andy Timo
Antoine Zeghdar",Rugby sevens,Men's tournament,7/27/2024
France,Gold,"France national rugby sevens team
Jean-Pascal Barraque
Antoine Dupont
Théo Forner
Aaron Grandidier Nkanang
Jefferson Lee Joseph
Stephen Parez
Varian Pasquet
Rayan Rebbadj
Paulin Riva
Jordan Sepho
Andy Timo
Antoine Zeghdar",Judo,Mixed team,8/3/2024
France,Gold,"France national rugby sevens team
Jean-Pascal Barraque
Antoine Dupont
Théo Forner
Aaron Grandidier Nkanang
Jefferson Lee Joseph
Stephen Parez
Varian Pasquet
Rayan Rebbadj
Paulin Riva
Jordan Sepho
Andy Timo
Antoine Zeghdar",Volleyball,Men's tournament,8/10/2024
France,Silver,"France national rugby sevens team
Jean-Pascal Barraque
Antoine Dupont
Théo Forner
Aaron Grandidier Nkanang
Jefferson Lee Joseph
Stephen Parez
Varian Pasquet
Rayan Rebbadj
Paulin Riva
Jordan Sepho
Andy Timo
Antoine Zeghdar",Equestrian,Team eventing,7/29/2024
France,Silver,"France national rugby sevens team
Jean-Pascal Barraque
Antoine Dupont
Théo Forner
Aaron Grandidier Nkanang
Jefferson Lee Joseph
Stephen Parez
Varian Pasquet
Rayan Rebbadj
Paulin Riva
Jordan Sepho
Andy Timo
Antoine Zeghdar",Archery,Men's Team,7/29/2024
France,Silver,"France national rugby sevens team
Jean-Pascal Barraque
Antoine Dupont
Théo Forner
Aaron Grandidier Nkanang
Jefferson Lee Joseph
Stephen Parez
Varian Pasquet
Rayan Rebbadj
Paulin Riva
Jordan Sepho
Andy Timo
Antoine Zeghdar",Fencing,Women's Team épée,7/30/2024
France,Silver,"France national rugby sevens team
Jean-Pascal Barraque
Antoine Dupont
Théo Forner
Aaron Grandidier Nkanang
Jefferson Lee Joseph
Stephen Parez
Varian Pasquet
Rayan Rebbadj
Paulin Riva
Jordan Sepho
Andy Timo
Antoine Zeghdar",Basketball,Men's 3x3,8/5/2024
