Country,Name,Sport,Event,Date
USA,Jack Alexy[a]Hunter ArmstrongCaeleb DresselNic FinkThomas Heilman[a]Ryan MurphyCharlie Swanson[a],Swimming,Men's 4 × 100 m medley relay,8/4/2024
USA,Sam Kendricks,Athletics,Men's pole vault,8/5/2024
USA,Simone Biles,Gymnastics,Women's floor,8/5/2024
USA,Vincent HancockAusten Smith,Shooting,Mixed skeet team,8/5/2024
USA,Taylor KnibbMorgan PearsonSeth RiderTaylor Spivey,Triathlon,Mixed relay,8/5/2024
USA,Annette Echikunwoke,Athletics,Women's hammer throw,8/6/2024
USA,Anita AlvarezJamie CzarkowskiMegumi FieldKeana HunterAudrey KwonJacklyn LuuDaniella RamirezRuby Remati,Artistic swimming,Team,8/7/2024
USA,Katie Moon,Athletics,Women's pole vault,8/7/2024
USA,Kenneth Rooks,Athletics,Men's 3000 m steeplechase,8/7/2024
USA,Tom Schaar,Skateboarding,Men's park,8/7/2024
USA,Kenny Bednarek,Athletics,Men's 200 m,8/8/2024
USA,Daniel Roberts,Athletics,Men's 110 m hurdles,8/8/2024
USA,Anna Cockrell,Athletics,Women's 400 m hurdles,8/8/2024
USA,Spencer Lee,Wrestling,Men's freestyle 57 kg,8/9/2024
USA,Shelby McEwen,Athletics,Men's high jump,8/10/2024
USA,Nevin Harrison,Canoeing,Women's C-1 200 m,8/10/2024
USA,Brooke Raboutou,Sport climbing,Women's combined,8/10/2024
USA,United States women's national volleyball teamLauren CarliniAndrea DrewsMicha HancockJordan LarsonChiaka OgboguKathryn PlummerJordyn PoulterDana RettkeKelsey RobinsonAvery SkinnerJordan ThompsonHaleigh WashingtonJustine Wong-Orantes,Volleyball,Women's tournament,8/11/2024
USA,Kennedy Blades,Wrestling,Women's freestyle 76 kg,8/11/2024
USA,Chloé Dygert,Cycling,Women's road time trial,7/27/2024
USA,Katie Ledecky,Swimming,Women's 400 m freestyle,7/27/2024
USA,Carson Foster,Swimming,Men's 400 m individual medley,7/28/2024
USA,Nick Itkin,Fencing,Men's foil,7/29/2024
USA,Asher HongPaul JudaBrody MaloneStephen NedoroscikFred Richard,Gymnastics,Men's artistic team all-around,7/29/2024
USA,Nyjah Huston,Skateboarding,Men's street,7/29/2024
USA,Luke Hobson,Swimming,Men's 200 m freestyle,7/29/2024
USA,Ryan Murphy,Swimming,Men's 100 m backstroke,7/29/2024
USA,Emma Weyant,Swimming,Women's 400 m individual medley,7/29/2024
USA,United States women's national rugby sevens teamKayla CanettLauren DoyleAlev KelterKristi KirsheSarah LevyIlona MaherAlena OlsenAriana RamseyStephanie RovettiSpiff SedrickSammy SullivanNaya Tapper,Rugby sevens,Women's tournament,7/30/2024
USA,Katharine Berkoff,Swimming,Women's 100 m backstroke,7/30/2024
USA,Evy Leibfarth,Canoeing,Women's slalom C-1,7/31/2024
USA,Sunisa Lee,Gymnastics,Women's artistic individual all-around,8/1/2024
USA,Brady EllisonCasey Kaufhold,Archery,Mixed team,8/2/2024
USA,Grant Fisher,Athletics,"Men's 10,000 m",8/2/2024
USA,Ian BarrowsHans Henken,Sailing,49er,8/2/2024
USA,Melissa Jefferson,Athletics,Women's 100 m,8/3/2024
USA,Jasmine Moore,Athletics,Women's triple jump,8/3/2024
USA,Stephen Nedoroscik,Gymnastics,Men's pommel horse,8/3/2024
USA,Jade Carey,Gymnastics,Women's vault,8/3/2024
USA,Christopher CarlsonPeter ChatainClark DeanHenry HollingsworthRielly Milne (c)Evan OlsonPieter QuintonNicholas RusherChristian Tabash,Rowing,Men's eight,8/3/2024
USA,Paige Madden,Swimming,Women's 800 m freestyle,8/3/2024
USA,Taylor FritzTommy Paul,Tennis,Men's doubles,8/3/2024
USA,Fred Kerley,Athletics,Men's 100 m,8/4/2024
USA,Sunisa Lee,Gymnastics,Women's uneven bars,8/4/2024
USA,Austen Smith,Shooting,Women's skeet,8/4/2024
USA,United States women's national 3x3 teamCierra BurdickDearica HambyRhyne HowardHailey Van Lith,Basketball,Women's 3x3 tournament,8/5/2024
USA,Yared Nuguse,Athletics,Men's 1500 m,8/6/2024
USA,Brittany Brown,Athletics,Women's 200 m,8/6/2024
USA,Omari Jones,Boxing,Men's welterweight,8/6/2024
USA,Hampton Morris,Weightlifting,Men's 61 kg,8/7/2024
USA,Noah Lyles,Athletics,Men's 200 m,8/8/2024
USA,Jasmine Moore,Athletics,Women's long jump,8/8/2024
USA,Sam Watson,Sport climbing,Men's speed,8/8/2024
USA,Kristina Teachout,Taekwondo,Women's 67 kg,8/9/2024
USA,United States men's national volleyball teamMatt AndersonTaylor AverillMicah ChristensonTJ DeFalcoMaxwell HoltThomas JaeschkeJeffrey JendrykMicah Ma?aGarrett MuagututiaAaron RussellErik ShojiDavid Smith,Volleyball,Men's tournament,8/9/2024
USA,Aaron Brooks,Wrestling,Men's freestyle 86 kg,8/9/2024
USA,Helen Maroulis,Wrestling,Women's freestyle 57 kg,8/9/2024
USA,Grant Fisher,Athletics,Men's 5000 m,8/10/2024
USA,Victor Montalvo,Breaking,B-Boys,8/10/2024
USA,Kyle Dake,Wrestling,Men's freestyle 74 kg,8/10/2024
USA,United States men's national water polo teamAlex BowenLuca CupidoHannes DaubeChase DoddRyder DoddBen HallockDrew HollandJohnny HooperMax IrvingAlex ObertMarko VavicAdrian WeinbergDylan Woodhead,Water polo,Men's tournament,8/11/2024
